ymdhm,Label
2022-05-31 23:50,314.8659446399494
2022-06-01 0:00,312.14985633913653
2022-06-01 0:10,304.54747998683035
2022-06-01 0:20,282.15658892046514
2022-06-01 0:30,291.52796401677574
2022-06-01 0:40,306.1854255158594
2022-06-01 0:50,300.314717097916
2022-06-01 1:00,306.1854255158594
2022-06-01 1:10,295.3288084124061
2022-06-01 1:20,283.5710836659396
2022-06-01 1:30,283.421850531186
2022-06-01 1:40,293.18010454261963
2022-06-01 1:50,298.1911067497964
2022-06-01 2:00,298.9935644026909
2022-06-01 2:10,298.9935644026909
2022-06-01 2:20,298.9935644026909
2022-06-01 2:30,294.6169013967483
2022-06-01 2:40,290.1749247707002
2022-06-01 2:50,285.92296316423665
2022-06-01 3:00,283.421850531186
2022-06-01 3:10,282.0225333794348
2022-06-01 3:20,285.04442022292693
2022-06-01 3:30,285.04442022292693
2022-06-01 3:40,283.5710836659396
2022-06-01 3:50,282.75931912014863
2022-06-01 4:00,281.13903539848536
2022-06-01 4:10,281.13903539848536
2022-06-01 4:20,282.0225333794348
2022-06-01 4:30,282.0225333794348
2022-06-01 4:40,282.0225333794348
2022-06-01 4:50,283.421850531186
2022-06-01 5:00,290.1749247707002
2022-06-01 5:10,288.74414691248194
2022-06-01 5:20,287.9978405342847
2022-06-01 5:30,283.421850531186
2022-06-01 5:40,283.421850531186
2022-06-01 5:50,282.0225333794348
2022-06-01 6:00,282.4883947828393
2022-06-01 6:10,282.4883947828393
2022-06-01 6:20,282.0225333794348
2022-06-01 6:30,282.0225333794348
2022-06-01 6:40,282.0225333794348
2022-06-01 6:50,282.0225333794348
2022-06-01 7:00,282.0225333794348
2022-06-01 7:10,282.0225333794348
2022-06-01 7:20,282.0225333794348
2022-06-01 7:30,287.9978405342847
2022-06-01 7:40,290.1749247707002
2022-06-01 7:50,298.9935644026909
2022-06-01 8:00,294.6169013967483
2022-06-01 8:10,298.1911067497964
2022-06-01 8:20,298.9935644026909
2022-06-01 8:30,298.9935644026909
2022-06-01 8:40,298.9935644026909
2022-06-01 8:50,298.1911067497964
2022-06-01 9:00,293.18010454261963
2022-06-01 9:10,289.5593350350309
2022-06-01 9:20,335.1992166928215
2022-06-01 9:30,338.92725873031674
2022-06-01 9:40,359.12730849257355
2022-06-01 9:50,381.0041704855221
2022-06-01 10:00,399.1189858869913
2022-06-01 10:10,385.00399916903325
2022-06-01 10:20,387.56795996766664
2022-06-01 10:30,371.988296970437
2022-06-01 10:40,357.78519898132475
2022-06-01 10:50,351.8756576280963
2022-06-01 11:00,338.92725873031674
2022-06-01 11:10,336.85696288671824
2022-06-01 11:20,318.84026994101754
2022-06-01 11:30,287.9978405342847
2022-06-01 11:40,309.1892156778894
2022-06-01 11:50,330.46382070451216
