ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,280.2800000000002,274.98000000000025,274.08,269.63999999999976
2022-06-01 00:10,281.9400000000002,275.86000000000024,274.46,267.3599999999998
2022-06-01 00:20,283.60000000000025,275.9600000000002,274.0,265.4799999999998
2022-06-01 00:30,284.98000000000025,277.80000000000024,273.96,263.35999999999984
2022-06-01 00:40,286.06000000000023,277.0000000000002,273.32,260.7799999999998
2022-06-01 00:50,284.98000000000025,277.2200000000002,273.26,259.4599999999998
2022-06-01 01:00,284.06000000000023,277.6400000000002,273.12,258.99999999999983
2022-06-01 01:10,282.86000000000024,277.42000000000024,273.04,258.55999999999983
2022-06-01 01:20,281.4600000000002,275.6000000000002,271.86,258.9599999999998
2022-06-01 01:30,279.5000000000002,273.8800000000002,270.78,260.0399999999998
2022-06-01 01:40,278.0000000000002,273.7000000000002,270.46,260.5399999999998
2022-06-01 01:50,276.7000000000002,272.7800000000002,269.62,261.3199999999998
2022-06-01 02:00,275.0800000000002,271.74000000000024,269.24,262.2599999999998
2022-06-01 02:10,274.36000000000024,270.7600000000002,268.98,262.0799999999998
2022-06-01 02:20,274.2800000000002,270.5000000000002,268.92,261.6399999999998
2022-06-01 02:30,274.7200000000002,270.3200000000002,268.32,261.4799999999998
2022-06-01 02:40,275.6600000000002,269.9400000000002,267.94,261.11999999999983
2022-06-01 02:50,276.24000000000024,268.30000000000024,267.22,260.29999999999984
2022-06-01 03:00,276.68000000000023,269.0000000000002,267.08,259.8199999999998
2022-06-01 03:10,276.5000000000002,269.7200000000002,266.52,258.4799999999998
2022-06-01 03:20,276.3400000000002,271.9000000000002,267.16,257.73999999999984
2022-06-01 03:30,276.9400000000002,270.3400000000002,266.68,256.6599999999998
2022-06-01 03:40,276.5000000000002,271.5800000000002,267.3,256.4599999999998
2022-06-01 03:50,275.92000000000024,270.9000000000002,266.92,256.2199999999998
2022-06-01 04:00,274.8200000000002,271.2800000000002,266.84,256.6599999999998
2022-06-01 04:10,274.18000000000023,270.3200000000002,266.02,256.11999999999983
