ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,280.9679999999989,273.47799999999853,273.312,268.80200000000167
2022-06-01 00:10,280.8179999999989,274.1559999999985,273.448,267.4580000000018
2022-06-01 00:20,281.7839999999989,273.4239999999985,272.742,265.80200000000184
2022-06-01 00:30,285.0239999999991,275.7119999999986,273.274,263.20800000000196
2022-06-01 00:40,284.9999999999991,273.96799999999854,271.684,260.31000000000205
2022-06-01 00:50,283.823999999999,274.8939999999986,271.502,259.090000000002
2022-06-01 01:00,283.70799999999895,275.6719999999986,271.988,258.518000000002
2022-06-01 01:10,282.73399999999896,277.3499999999987,272.818,258.57200000000205
2022-06-01 01:20,280.58199999999886,274.73199999999855,271.06,258.85800000000205
2022-06-01 01:30,279.82999999999885,271.7779999999984,269.616,259.53400000000204
2022-06-01 01:40,278.2559999999987,271.8359999999984,268.89,259.460000000002
2022-06-01 01:50,276.52999999999867,273.0739999999985,269.79,262.13600000000207
2022-06-01 02:00,275.2479999999986,273.11599999999856,269.5,262.148000000002
2022-06-01 02:10,274.83199999999863,274.15799999999854,269.792,261.83200000000204
2022-06-01 02:20,274.8139999999986,274.38999999999857,269.816,261.70000000000203
2022-06-01 02:30,275.0439999999986,274.04399999999856,269.576,261.50400000000207
2022-06-01 02:40,275.8099999999986,274.12399999999855,269.78,262.39600000000206
2022-06-01 02:50,275.7899999999986,273.94599999999855,269.358,260.79800000000205
2022-06-01 03:00,275.9019999999986,273.80399999999855,269.074,259.696000000002
2022-06-01 03:10,276.09799999999865,273.98199999999855,268.958,258.626000000002
2022-06-01 03:20,275.9979999999987,272.09399999999846,268.086,257.496000000002
2022-06-01 03:30,276.67199999999866,270.82599999999843,267.234,256.08600000000206
2022-06-01 03:40,276.37399999999866,270.80999999999835,266.85,255.30200000000204
2022-06-01 03:50,275.8519999999986,270.27799999999837,266.306,254.86400000000205
2022-06-01 04:00,275.3119999999986,270.3879999999984,266.336,254.64600000000203
