ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,280.17000000000047,275.2800000000005,274.08,269.6499999999995
2022-06-01 00:10,281.7100000000005,275.82000000000045,274.17,267.68999999999954
2022-06-01 00:20,283.42000000000047,276.2800000000005,274.1,265.3599999999995
2022-06-01 00:30,285.2100000000005,276.6500000000005,273.69,262.92999999999955
2022-06-01 00:40,285.8900000000005,276.9800000000005,273.23,260.98999999999955
2022-06-01 00:50,284.69000000000045,277.3500000000005,273.06,259.3899999999996
2022-06-01 01:00,283.9500000000005,277.11000000000047,272.94,258.8299999999996
2022-06-01 01:10,282.8500000000005,277.01000000000045,272.84,258.68999999999954
2022-06-01 01:20,281.2900000000005,275.82000000000045,271.82,258.9699999999996
2022-06-01 01:30,279.5900000000005,274.2700000000005,270.96,259.99999999999955
2022-06-01 01:40,278.2200000000005,273.5400000000005,270.34,260.93999999999954
2022-06-01 01:50,276.7200000000005,271.36000000000047,269.33,261.5899999999996
2022-06-01 02:00,275.1600000000005,272.61000000000047,269.68,262.35999999999956
2022-06-01 02:10,274.4500000000005,271.5200000000005,269.21,261.93999999999954
2022-06-01 02:20,274.63000000000045,271.6500000000005,269.18,261.85999999999956
2022-06-01 02:30,274.9700000000005,270.3300000000005,268.19,261.42999999999955
2022-06-01 02:40,275.1500000000005,270.67000000000047,268.12,261.10999999999956
2022-06-01 02:50,275.7800000000005,271.4500000000005,268.26,259.87999999999954
2022-06-01 03:00,276.31000000000046,270.4500000000005,267.32,259.49999999999955
2022-06-01 03:10,276.68000000000046,270.9000000000005,267.36,258.47999999999956
2022-06-01 03:20,277.11000000000047,271.4500000000005,267.61,257.97999999999956
2022-06-01 03:30,277.19000000000045,272.74000000000046,268.09,256.9599999999996
2022-06-01 03:40,276.67000000000047,271.81000000000046,267.36,256.09999999999957
2022-06-01 03:50,276.26000000000045,270.25000000000045,266.38,255.71999999999957
2022-06-01 04:00,275.25000000000045,270.0400000000005,266.3,255.44999999999956
2022-06-01 04:10,274.38000000000045,269.7800000000005,265.86,255.42999999999955
2022-06-01 04:20,272.86000000000047,269.42000000000047,264.72,255.32999999999956
